rank,title,studio,total_gross,theatres,open,close
1,Black Panther,BV,700059566,4084,2018-02-16,2018-08-09
2,Avengers: Infinity War,BV,678815482,4474,2018-04-27,2018-09-13
3,Incredibles 2,BV,608581744,4410,2018-06-15,2018-12-13
4,Jurassic World: Fallen Kingdom,Uni.,417719760,4485,2018-06-22,2018-10-04
5,Aquaman,WB,335038565,4184,2018-12-21,NA
6,Deadpool 2,Fox,318491426,4349,2018-05-18,2018-10-18
7,Dr. Seuss' The Grinch (2018),Uni.,270620950,4141,2018-11-09,2019-02-14
8,Mission: Impossible - Fallout,Par.,220159104,4395,2018-07-27,2018-10-18
9,Ant-Man and the Wasp,BV,216648740,4206,2018-07-06,2018-11-01
10,Bohemian Rhapsody,Fox,216118098,4000,2018-11-02,NA
11,A Star is Born (2018),WB,215285619,3904,2018-10-05,NA
12,Solo: A Star Wars Story,BV,213767512,4381,2018-05-25,2018-09-20
13,Venom (2018),Sony,213515506,4250,2018-10-05,2019-01-24
14,Ralph Breaks the Internet,BV,201053965,4017,2018-11-21,NA
15,Spider-Man: Into The Spider-Verse,Sony,190173195,3813,2018-12-14,NA
16,A Quiet Place,Par.,188024361,3808,2018-04-06,2018-08-02
17,Crazy Rich Asians,WB,174532921,3865,2018-08-15,2019-01-10
18,Mary Poppins Returns,BV,171920694,4090,2018-12-19,NA
19,Hotel Transylvania 3: Summer Vacation,Sony,167510016,4267,2018-07-13,2018-11-29
20,Fantastic Beasts: The Crimes of Grindelwald,WB,159555901,4163,2018-11-16,2019-02-21
21,Halloween (2018),Uni.,159342015,3990,2018-10-19,2019-01-03
22,The Meg,WB,145443742,4118,2018-08-10,2018-11-01
23,Ocean's 8,WB,140218711,4145,2018-06-08,2018-09-20
24,Ready Player One,WB,137690172,4234,2018-03-29,2018-07-05
25,Bumblebee,Par.,127195589,3597,2018-12-21,2019-03-07
26,Mamma Mia! Here We Go Again,Uni.,120634935,3514,2018-07-20,2018-10-11
27,The Nun,WB (NL),117450119,3876,2018-09-07,2018-11-22
28,Creed II,MGM,115715889,3752,2018-11-21,2019-03-21
29,Peter Rabbit,Sony,115253424,3725,2018-02-09,2018-06-14
30,The Mule,WB,103804407,3329,2018-12-14,2019-03-14
31,The Equalizer 2,Sony,102084362,3388,2018-07-20,2018-09-20
32,Rampage (2018),WB (NL),101028233,4115,2018-04-13,2018-07-26
33,A Wrinkle in Time,BV,100478608,3980,2018-03-09,2018-07-05
34,Fifty Shades Freed,Uni.,100407760,3768,2018-02-09,2018-04-05
35,Disney's Christopher Robin,BV,99215042,3602,2018-08-03,2018-11-29
36,Green Book,Uni.,84567156,2648,2018-11-16,NA
37,I Can Only Imagine,RAtt.,83482352,2894,2018-03-16,2018-07-12
38,Smallfoot,WB,83240103,4131,2018-09-28,2019-01-17
39,Night School (2018),Uni.,77339130,3019,2018-09-28,2019-01-03
40,The First Purge,Uni.,69488745,3038,2018-07-04,2018-09-06
41,Game Night,WB (NL),69179066,3502,2018-02-23,2018-06-21
42,Book Club,Par.,68566296,3169,2018-05-18,2018-08-09
43,The House With A Clock In Its Walls,Uni.,68549695,3592,2018-09-21,2019-01-03
44,Skyscraper,Uni.,68420120,3822,2018-07-13,2018-09-27
45,Insidious: The Last Key,Uni.,67745330,3150,2018-01-05,2018-03-29
46,Instant Family,Par.,67363237,3426,2018-11-16,2019-01-31
47,Blockers,Uni.,60311495,3418,2018-04-06,2018-08-02
48,Pacific Rim Uprising,Uni.,59874525,3708,2018-03-23,2018-07-26
49,Tomb Raider,WB,58250803,3854,2018-03-16,2018-05-31
50,Maze Runner: The Death Cure,Fox,58032443,3793,2018-01-26,2018-05-03
51,The Nutcracker and the Four Realms,BV,54858851,3766,2018-11-02,2019-01-17
52,Tag,WB (NL),54730625,3382,2018-06-15,2018-09-13
53,A Simple Favor,LGF,53548586,3102,2018-09-14,2018-11-22
54,Life of the Party,WB (NL),53059911,3656,2018-05-11,2018-08-02
55,The Predator (2018),Fox,51024708,4070,2018-09-14,2018-11-29
56,Overboard (2018),PNT,50316123,2006,2018-05-04,2018-07-05
57,Sicario: Day of the Soldado,Sony,50072235,3055,2018-06-29,2018-09-20
58,BlacKkKlansman,Focus,49275340,1914,2018-08-10,2019-03-01
59,I Feel Pretty,STX,48795601,3440,2018-04-20,2018-06-21
60,Vice,Annapurna,47833314,2534,2018-12-25,NA
61,Red Sparrow,Fox,46874505,3064,2018-03-02,2018-06-07
62,Breaking In (2018),Uni.,46840590,2537,2018-05-11,2018-08-02
63,Goosebumps 2: Haunted Halloween,Sony,46700633,3723,2018-10-12,2018-12-20
64,12 Strong,WB,45819713,3018,2018-01-19,2018-03-29
65,Den of Thieves,STX,44947622,2432,2018-01-19,2018-03-22
66,First Man,Uni.,44936545,3640,2018-10-12,2019-01-03
67,Hereditary,A24,44069456,2998,2018-06-08,2018-08-30
68,Tyler Perry's Acrimony,LGF,43549096,2006,2018-03-30,2018-06-07
69,Sherlock Gnomes,Par.,43242871,3662,2018-03-23,2018-06-14
70,Uncle Drew,LG/S,42469946,2742,2018-06-29,2018-09-13
71,Widows,Fox,42402632,2803,2018-11-16,2019-02-21
72,Truth or Dare,Uni.,41411015,3068,2018-04-13,2018-07-26
73,Paddington 2,WB,40891591,3702,2018-01-12,2018-03-15
74,"Love, Simon",Fox,40826341,2434,2018-03-16,2018-06-14
75,Second Act,STX,39282227,2607,2018-12-21,2019-02-21
76,The Commuter,LGF,36343858,2892,2018-01-12,2018-03-15
77,The 15:17 to Paris,WB,36276286,3042,2018-02-09,2018-04-12
78,Mile 22,STX,36108758,3520,2018-08-17,2018-10-04
79,Alpha,Studio 8,35857181,2881,2018-08-17,2018-11-22
80,Peppermint,STX,35418723,2980,2018-09-07,2018-11-01
81,The Favourite,FoxS,34211444,1554,2018-11-23,NA
82,Death Wish (2018),MGM,34017028,2882,2018-03-02,2018-05-31
83,The Spy Who Dumped Me,LGF,33562069,3111,2018-08-03,2018-09-27
84,Annihilation,Par.,32732301,2112,2018-02-23,2018-04-19
85,Isle Of Dogs,FoxS,32015231,1947,2018-03-23,2018-08-30
86,Nobody's Fool,Par.,31713110,2468,2018-11-02,2018-12-20
87,Adrift,STX,31445012,3015,2018-06-01,2018-08-02
88,Robin Hood (2018),LG/S,30824628,2827,2018-11-21,2019-01-10
89,Super Troopers 2,Fox,30617396,2125,2018-04-20,2018-07-12
90,Holmes and Watson,Sony,30573626,2780,2018-12-25,2019-02-21
91,Slender Man,SGem,30569484,2358,2018-08-10,2018-11-01
92,Teen Titans Go! To The Movies,WB,29790236,3188,2018-07-27,2018-10-11
93,The Hate U Give,Fox,29719483,2375,2018-10-05,2019-01-17
94,Searching,SGem,26020957,2009,2018-08-24,2018-11-15
95,Winchester,LGF,25091816,2480,2018-02-02,2018-03-29
96,On the Basis of Sex,Focus,24622687,1957,2018-12-25,2019-03-07
97,Strangers: Prey at Night,Aviron,24586708,2464,2018-03-09,2018-05-31
98,White Boy Rick,Studio 8,24011188,2504,2018-09-14,2018-11-08
99,Won't You Be My Neighbor?,Focus,22835787,893,2018-06-08,2018-09-13
100,Overlord,Par.,21704844,2859,2018-11-09,2018-12-20
