rank,title,studio,total_gross,theatres,open,close
1,Captain Marvel,BV,358151774,4310,2019-03-08,NA
2,How to Train Your Dragon: The Hidden World,Uni.,154032855,4286,2019-02-22,NA
3,Us,Uni.,134228960,3743,2019-03-22,NA
4,Glass,Uni.,111018770,3844,2019-01-18,NA
5,The Upside,STX,107578717,3568,2019-01-11,NA
6,The LEGO Movie 2: The Second Part,WB,104797938,4303,2019-02-08,NA
7,Alita: Battle Angel,Fox,85052752,3802,2019-02-14,NA
8,Tyler Perry's A Madea Family Funeral,LGF,70574935,2442,2019-03-01,NA
9,Escape Room,Sony,56792010,2717,2019-01-04,NA
10,What Men Want,Par.,54466483,2912,2019-02-08,NA
11,Dumbo (2019),BV,53574164,4259,2019-03-29,NA
12,Isn't It Romantic,WB (NL),48170865,3444,2019-02-13,NA
13,A Dog's Way Home,Sony,42004346,3090,2019-01-11,2019-03-28
14,Wonder Park,Par.,39103102,3838,2019-03-15,NA
15,Five Feet Apart,LGF,37023970,2866,2019-03-15,NA
16,Cold Pursuit,LG/S,31968998,2630,2019-02-08,NA
17,Dragon Ball Super: Broly,FUN,30712119,1267,2019-01-16,2019-02-20
18,Happy Death Day 2U,Uni.,28038510,3212,2019-02-13,NA
19,Fighting with My Family,MGM,22589884,2855,2019-02-14,NA
20,The Kid Who Would be King,Fox,16789976,3528,2019-01-25,NA
21,Miss Bala,Sony,15006824,2203,2019-02-01,2019-03-21
22,The Prodigy,Orion,14850674,2530,2019-02-08,NA
23,Greta,Focus,10515375,2417,2019-03-01,NA
24,Serenity (2019),Aviron,8547045,2561,2019-01-25,2019-03-07
25,No Manches Frida 2,PNT,8221035,472,2019-03-15,NA
26,Unplanned,PFR,7974670,1515,2019-03-29,NA
27,Apollo 11,Neon,7710905,588,2019-03-01,NA
28,Run the Race,RAtt.,6344649,1075,2019-02-22,NA
29,Captive State,Focus,5935295,2549,2019-03-15,NA
30,The Wandering Earth,CMC,5874519,129,2019-02-05,NA
31,Gully Boy,VPD,5552844,270,2019-02-14,NA
32,Gloria Bell,A24,4411919,1127,2019-03-08,NA
33,Uri: The Surgical Strike,PackYourBag,4186168,132,2019-01-11,NA
34,Hotel Mumbai,BST,4102543,924,2019-03-22,NA
35,Replicas,ENTMP,4046429,2329,2019-01-11,2019-02-21
36,The Oscar Nominated Short Films 2019,Shrts.,3531094,415,2019-02-08,NA
37,BTS World Tour: Love Yourself in Seoul,Fathom,3509917,997,2019-01-26,NA
38,Everybody Knows,Focus,2653190,283,2019-02-08,NA
39,Arctic,BST,2315262,268,2019-02-01,NA
40,The Beach Bum,Neon,2192070,1100,2019-03-29,NA
41,Gone with the Wind (80th Anniversary),Fathom,2176120,717,2019-02-28,2019-03-21
42,Total Dhamaal,FIP,2167632,209,2019-02-22,2019-03-21
43,The Wizard of Oz 80th Anniversary,Fathom,2076020,681,2019-01-27,2019-02-07
44,Badla,Relbig.,1861000,115,2019-03-08,NA
45,Extreme Job,CJ,1563508,26,2019-01-25,NA
46,The Kid (2019),LGF,1463524,268,2019-03-08,NA
47,Asterix: The Secret of the Magic Potion,EOne,1185387,76,2019-02-15,NA
48,Ek Ladki Ko Dekha Toh Aisa Laga,FIP,1182636,193,2019-02-01,2019-02-21
49,The Mustang,Focus,1144575,181,2019-03-15,NA
50,Luka Chuppi,VPD,1038428,139,2019-03-01,NA
51,Perfect Strangers,PNT,1014507,132,2019-01-11,2019-02-14
52,Los Domirriqueños 2,Spanglish,881741,53,2019-03-14,NA
53,Climax,A24,790774,217,2019-03-01,NA
54,Patterns of Evidence: The Moses Controversy,Fathom,765361,896,2019-03-14,NA
55,JONI 75: A Birthday Celebration,Trafalgar,752205,405,2019-02-07,NA
56,More than Blue,CL,661631,40,2019-03-15,NA
57,The Aftermath,FoxS,656717,161,2019-03-15,NA
58,Dirty Dancing (Fathom Event),Fathom,622968,650,2019-02-10,2019-02-14
59,The Least of These: The Graham Staines Story,Fathom,607015,625,2019-01-31,2019-02-21
60,TCM: To Kill a Mockingbird,Fathom,592237,668,2019-03-24,NA
61,Furie,WGUSA,591648,27,2019-03-01,NA
62,TCM: My Fair Lady 55th Anniversary,Fathom,560711,652,2019-02-17,NA
63,Transit,MBox,516197,72,2019-03-01,NA
64,Birds of Passage,Orch.,478696,97,2019-02-13,NA
65,Cruel Intentions (20th Anniversary),Sony,435185,708,2019-03-22,NA
66,Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,Fathom,420595,515,2019-03-14,NA
67,CatVideoFest 2019,Osci.,385160,103,2019-02-15,NA
68,The Wedding Guest,IFC,375674,96,2019-03-01,NA
69,Woman at War,Magn.,348094,65,2019-03-01,NA
70,The Invisibles,Greenwich,339182,19,2019-01-25,NA
71,A Silent Voice (2019 re-release),Fathom,333984,581,2019-01-28,NA
72,Errol Spence vs. Mikey Garcia,Fathom,328979,288,2019-03-16,2019-03-16
73,Josh Groban Bridges from Madison Square Garden,Trafalgar,315173,390,2019-02-08,NA
74,Bolshoi Ballet: Sleeping Beauty (2019),Fathom,311368,355,2019-03-10,NA
75,I Want to Eat Your Pancreas,Fathom,277019,427,2019-02-07,2019-02-14
76,The Hummingbird Project,Orch.,261448,232,2019-03-15,NA
77,Mobile Suit Gundam NT (Narrative),Fathom,259224,449,2019-02-19,2019-02-21
78,Lords of Chaos,G&S,253184,75,2019-02-08,NA
79,Canal Street,SG,251917,73,2019-01-18,2019-02-14
80,311 Enlarged to Show Detail 3,Trafalgar,238791,239,2019-03-11,NA
81,Ash is Purest White,Cohen,235394,49,2019-03-15,NA
82,The Russian Five,Lucky Hat,215497,40,2019-03-21,NA
83,The Iron Orchard,Santa Rita,203270,42,2019-02-22,NA
84,To Dust,Good Deed,179603,23,2019-02-08,NA
85,"Modest Heroes: Ponoc Short Films Theatre, Vol 1",Fathom,178027,370,2019-01-10,2019-01-12
86,"Diana Ross: Her Life, Love And Legacy",Fathom,160968,623,2019-03-26,NA
87,Giant Little Ones,VE,159143,32,2019-03-01,NA
88,Doctor Who: Logopolis,Fathom,143248,428,2019-03-13,NA
89,Made In Abyss: Journey's Dawn,Fathom,134047,573,2019-03-20,NA
90,"Faith, Hope & Love",AAE,131817,18,2019-03-15,NA
91,Peppa Celebrates Chinese New Year,STX,131225,67,2019-02-06,2019-02-19
92,Avant qu'on explose,EOne,117639,35,2019-03-01,NA
93,Who Will Write Our History,Abr.,117575,6,2019-01-18,NA
94,Mob Psycho 100 - Season 2 Premiere,Fathom,115766,375,2019-01-05,2019-01-05
95,"Ruben Brandt, Collector",SPC,108041,43,2019-02-15,NA
96,"Belle and Sebastian, Friends for Life",EOne,105746,38,2019-01-25,NA
97,Mojin: The Worm Valley,WGUSA,101516,17,2019-01-04,2019-01-31
98,Police Story and Police Story 2,Jan.,101245,7,2019-02-01,NA
99,Wonders of the Sea 3D,Fathom,100780,266,2019-01-17,NA
100,A Tuba to Cuba,Blue Fox,98967,16,2019-02-15,NA
