"Response ID","Date submitted","Last page","Start language","Seed","Please indicate your current experience of the following: [I know where to find R packages on my computer]","Please indicate your current experience of the following: [I've made R Projects before]","Please indicate your current experience of the following: [I have a GitHub account]","Please indicate your current experience of the following: [I've written a unit test before (in any language)]","Please indicate your current experience of the following: [I regularly work with R in the academic or professional setting]","How comfortable are you with the following tasks?  [Building R Functions]","How comfortable are you with the following tasks?  [Constructing R Packages]","How comfortable are you with the following tasks?  [Creating Unit Tests]","How comfortable are you with the following tasks?  [Using Git]","How comfortable are you with the following tasks?  [Using R Projects]","Please rate your satisfaction on the following: [Convenience of location]","Please rate your satisfaction on the following: [Facilities]","Please rate your satisfaction on the following: [Food]","Please rate your satisfaction on the following: [Instructor knowledge]","Please rate your satisfaction on the following: [Instructor enthusiasm]","Please rate your satisfaction on the following: [Instructor ability to explain]","Please rate your satisfaction on the following: [Balance of listening vs hands-on practice]","Please rate your satisfaction on the following: [Registration process]","Please rate your satisfaction on the following: [Scholarship application process]","Is there anything else you would like to share?"
"2","1980-01-01 00:00:00","2","en","599539859","Yes","No","Yes","No","Yes","Somewhat comfortable","Somewhat comfortable","Not very comfortable","Not very comfortable","Somewhat comfortable","Satisfied","Satisfied","Satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied",""
"3","1980-01-01 00:00:00","2","en","1127062139","Yes","No","Yes","Yes","Yes","Very comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not applicable",""
"4","1980-01-01 00:00:00","2","en","809668438","Yes","Yes","Yes","No","Yes","Very comfortable","Somewhat comfortable","Not very comfortable","Somewhat comfortable","Very comfortable","Satisfied","Satisfied","Satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not applicable","Excellent workshop - thank you! "
"5","1980-01-01 00:00:00","2","en","1677714652","Yes","Yes","Yes","Yes","Yes","Very comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Very comfortable","Satisfied","Very satisfied","Not applicable","Very satisfied","Satisfied","Satisfied","Satisfied","Very satisfied","Not applicable",""
"6","1980-01-01 00:00:00","2","en","1946766138","Yes","Yes","Yes","Uncertain","Yes","Somewhat comfortable","Somewhat comfortable","Not very comfortable","Somewhat comfortable","Somewhat comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied",""
"7","1980-01-01 00:00:00","2","en","1874725993","Yes","Yes","Yes","Yes","Yes","Very comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Neutral","Satisfied","Satisfied","Very satisfied","Satisfied","Satisfied","Very satisfied","Satisfied","Not applicable",""
"8","1980-01-01 00:00:00","2","en","1351512480","Yes","Yes","Yes","Yes","Yes","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not applicable","Thanks for a great workshop! It was worth attending, and 'building your own package' seems within reach now."
"9","1980-01-01 00:00:00","2","en","150499968","Yes","Yes","Yes","Yes","No","Not very comfortable","Somewhat comfortable","Somewhat comfortable","Not very comfortable","Very comfortable","Neutral","Very satisfied","Satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Satisfied","Very satisfied",""
"10","1980-01-01 00:00:00","2","en","2046380457","Yes","Yes","Yes","Yes","Yes","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Very comfortable","Very satisfied","Very satisfied","Satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Not applicable",""

