"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Please indicate your previous experience of the following: [I know where to find R packages on my computer]","Please indicate your previous experience of the following: [I've made R Projects before]","Please indicate your previous experience of the following: [I have a GitHub account]","Please indicate your previous experience of the following: [I've written a unit test before (in any language)]","Please indicate your previous experience of the following: [I regularly work with R in the academic or professional setting]","How comfortable are you with the following tasks? [Building R Functions]","How comfortable are you with the following tasks? [Constructing R Packages]","How comfortable are you with the following tasks? [Creating Unit Tests]","How comfortable are you with the following tasks? [Using Git and GitHub]","How comfortable are you with the following tasks? [Using R Projects]","Which of these best describes you? [Student]","Which of these best describes you? [Early career professional]","Which of these best describes you? [Established career professional]","Which of these best describes you? [Other]"
"2","2020-03-03 17:17:26","2","en","1358758326","2020-03-03 17:15:30","2020-03-03 17:17:26","Yes","Yes","Yes","No","Yes","Not very comfortable","No experience yet","No experience yet","Somewhat comfortable","Somewhat comfortable","No","Yes","No",""
"3","2020-03-03 20:06:53","2","en","254885429","2020-03-03 20:06:12","2020-03-03 20:06:53","Uncertain","Yes","Yes","No","Yes","Very comfortable","Not very comfortable","No experience yet","Somewhat comfortable","Very comfortable","No","No","Yes",""
"4","2020-03-03 21:23:14","2","en","1007869745","2020-03-03 21:22:15","2020-03-03 21:23:14","Uncertain","No","Yes","No","Yes","Somewhat comfortable","No experience yet","No experience yet","Totally uncomfortable","No experience yet","Yes","No","No",""
"5","2020-03-04 07:07:26","2","en","2039429156","2020-03-04 07:05:48","2020-03-04 07:07:26","Yes","No","No","Uncertain","Yes","Not very comfortable","No experience yet","Totally uncomfortable","No experience yet","Totally uncomfortable","No","No","Yes",""
"6","2020-03-04 07:59:28","2","en","630746188","2020-03-04 07:58:43","2020-03-04 07:59:28","Yes","Yes","Yes","Uncertain","Yes","Somewhat comfortable","Not very comfortable","Not very comfortable","Not very comfortable","Somewhat comfortable","Yes","Yes","No",""
"7","2020-03-04 08:21:08","2","en","711713516","2020-03-04 08:20:07","2020-03-04 08:21:08","Yes","Yes","Yes","Yes","Yes","Somewhat comfortable","Not very comfortable","Not very comfortable","Not very comfortable","Somewhat comfortable","No","No","Yes",""
"8","2020-03-04 12:28:33","2","en","2054330059","2020-03-04 11:32:54","2020-03-04 12:28:33","Uncertain","Yes","No","Uncertain","No","No experience yet","No experience yet","No experience yet","No experience yet","Somewhat comfortable","No","Yes","No",""
"9","2020-03-04 14:45:16","2","en","52370530","2020-03-04 14:44:18","2020-03-04 14:45:16","Yes","Uncertain","Uncertain","Uncertain","Yes","Somewhat comfortable","Not very comfortable","Not very comfortable","Not very comfortable","Somewhat comfortable","No","Yes","No",""
"10","2020-03-04 20:29:11","2","en","718313982","2020-03-04 20:26:47","2020-03-04 20:29:11","Yes","No","No","No","Yes","Somewhat comfortable","No experience yet","No experience yet","No experience yet","No experience yet","Yes","No","No",""
"11","2020-03-04 21:15:31","2","en","858100177","2020-03-04 21:14:40","2020-03-04 21:15:31","Yes","Yes","Yes","No","Uncertain","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","Somewhat comfortable","No","Yes","No",""
"12","2020-03-05 10:50:50","2","en","747345662","2020-03-05 10:49:24","2020-03-05 10:50:50","Yes","Yes","Yes","Uncertain","Yes","Somewhat comfortable","No experience yet","Totally uncomfortable","Somewhat comfortable","Very comfortable","No","No","Yes",""
"13","2020-03-05 17:35:28","2","en","1140853463","2020-03-05 17:33:39","2020-03-05 17:35:28","Yes","No","No","No","Yes","Very comfortable","No experience yet","No experience yet","Totally uncomfortable","No experience yet","No","Yes","No",""
"14","2020-03-05 22:51:30","2","en","387868736","2020-03-05 22:50:36","2020-03-05 22:51:30","Yes","Yes","Yes","No","Yes","Somewhat comfortable","Not very comfortable","No experience yet","No experience yet","Somewhat comfortable","No","No","Yes",""

